date,amount,category,description
2024-01-01,2500.00,Salary,Monthly Salary
2024-01-02,-45.30,Groceries,Trader Joes
2024-01-03,-12.50,Transportation,Metro Card
2024-01-05,-850.00,Rent,January Rent
2024-01-07,-67.89,Dining Out,Pizza Night
2024-01-10,-120.00,Utilities,Electric Bill
2024-01-12,-35.00,Entertainment,Movie Tickets
2024-01-15,-89.99,Shopping,New Shoes
2024-01-18,-52.40,Groceries,Whole Foods
2024-01-20,-15.00,Transportation,Uber
2024-01-22,-200.00,Healthcare,Doctor Visit
2024-01-25,-43.21,Dining Out,Lunch with Friends
2024-01-28,-56.78,Groceries,Weekly Shopping
2024-02-01,2500.00,Salary,Monthly Salary
2024-02-02,-38.90,Groceries,Corner Store
2024-02-03,-850.00,Rent,February Rent
2024-02-05,-25.00,Entertainment,Concert Tickets
2024-02-08,-95.50,Dining Out,Birthday Dinner
2024-02-10,-120.00,Utilities,Electric Bill
2024-02-12,-67.30,Shopping,Books
2024-02-15,-44.20,Groceries,Farmers Market
2024-02-18,-30.00,Transportation,Gas
2024-02-20,-150.00,Other,Gift for Friend
2024-02-22,-55.80,Dining Out,Brunch
2024-02-25,-61.45,Groceries,Weekly Shopping
